Company,Country,Arms sales (2019),Arms sales (2018),Arms sales (2017),Arms sales (2016),Arms sales (2015)
Lockheed Martin Corp.,United States,53230,47260,43880,40630,36440
Boeing,United States,33580,32120,29450,29510,27960
Northrop Grumman Corp.,United States,29220,26190,22370,21400,20060
Raytheon,United States,25320,23440,22040,22910,21780
General Dynamics Corp.,United States,24500,22000,19500,19200,19240
AVIC,China,22470,22290,20130,17360,15720
BAE Systems,United Kingdom,22240,21210,20990,22790,25510
CETC,China,15090,13860,12170,10970,12000
NORINCO Group,China,14540,14880,17190,17320,16910
L3Harris Technologies,United States,13920,13220,7750,7630,8770
United Technologies Corp.,United States,13100,9310,7780,6870,9500
Leonardo,Italy,11110,9820,8820,8500,9300
Airbus,Trans-European,11050,11650,9980,12520,12860
Thales,France,9470,9470,8960,8170,8100
Almaz-Antey,Russia,9420,9640,8570,6110,7380
Huntington Ingalls Industries,United States,7740,7200,6470,6720,6740
Dassault Aviation Group,France,5760,2930,,,
Honeywell International,United States,5330,5430,4460,3480,
Leidos,United States,5330,5000,4380,4300,3290
Booz Allen Hamilton,United States,5140,4680,4320,4000,3900
General Electric,United States,4760,3650,,,
EDGE,United Arab Emirates,4750,,,,
Rolls-Royce,United Kingdom,4710,4680,4420,4450,4790
CSGC,China,4610,4210,4630,8080,9080
United Shipbuilding Corp.,Russia,4500,4700,4980,4060,4140
Harris Corp.,United States,,,4450,4200,4920
Naval Group,France,,,4110,3480,
Textron,United States,,,,,3650
Mitsubishi Heavy Industries,Japan,,,,,3470
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
